episode,reason,distance,elapsed_time,score,walk_number,timestamp
9,超出邊界,1.655,10.4,-66.55497944222608,2,2025-11-24 21:16:51
3,超出邊界,0.862,14.0,-58.620143432285204,3,2025-11-24 21:17:00
8,超出邊界,1.703,17.2,-67.02524773476006,5,2025-11-24 21:17:00
2,超出邊界,1.779,24.0,-67.78688972901762,3,2025-11-24 21:17:07
4,超時,0.977,30.1,-20,4,2025-11-24 21:17:10
7,超時,1.169,30.1,-20,2,2025-11-24 21:17:11
5,超時,1.917,30.2,-20,2,2025-11-24 21:17:12
1,超時,1.499,30.1,-20,5,2025-11-24 21:17:13
6,超時,1.142,30.0,-20,4,2025-11-24 21:17:14
18,超出邊界,1.221,29.4,-62.213445797640624,3,2025-11-24 21:17:26
12,超時,1.524,30.1,-20,2,2025-11-24 21:17:35
14,超出邊界,1.72,17.1,-67.19831741274726,3,2025-11-24 21:17:35
17,超時,1.207,30.0,-20,3,2025-11-24 21:17:36
13,超出邊界,1.701,21.4,-67.01275953608278,2,2025-11-24 21:17:39
11,超時,1.299,30.1,-20,4,2025-11-24 21:17:44
16,超時,1.49,30.1,-20,4,2025-11-24 21:17:49
10,超時,0.901,30.1,-20,3,2025-11-24 21:17:50
15,超時,1.538,30.1,-20,3,2025-11-24 21:17:52
20,超出邊界,1.701,8.8,-67.00971584738396,1,2025-11-24 21:17:58
19,超出邊界,1.028,6.8,-60.28324861988921,1,2025-11-24 21:18:01
27,超時,1.428,30.1,-20,4,2025-11-24 21:18:03
24,超出邊界,1.633,9.7,-66.33249892718074,1,2025-11-24 21:18:09
23,超時,1.49,30.1,-20,4,2025-11-24 21:18:11
21,超時,2.122,30.0,-20,0,2025-11-24 21:18:13
22,超時,1.483,30.0,-20,5,2025-11-24 21:18:15
36,超出邊界,1.732,9.0,-67.31773009874036,1,2025-11-24 21:18:17
